line_id,stop_id,stop_order
19651,19650,0
19651,196514,1
19652,196515,0
19652,196526,1
19653,196526,0
19653,196527,1
19654,196528,0
19654,196540,1
19655,196528,0
19655,196543,1
19656,196544,0
19656,196555,1
19657,196556,0
19657,196569,1
19658,196556,0
19658,196570,1
19659,196571,0
19659,196584,1
196510,196585,0
196510,1965104,1
196511,1965105,0
196511,1965118,1
196512,1965100,0
196512,1965132,1
196513,1965133,0
196513,1965150,1
196514,1965151,0
196514,1965160,1
196515,1965161,0
196515,1965167,1
196516,1965168,0
196516,1965186,1
196517,1965187,0
196517,1965201,1
196518,1965202,0
196518,1965217,1
196519,1965218,0
196519,1965232,1
196520,1965218,0
196520,1965246,1
196521,1965247,0
196521,1965260,1
196522,1965261,0
196522,1965271,1
196523,1965272,0
196523,1965283,1
196524,1965187,0
196524,1965295,1
196525,1965274,0
196525,1965306,1
196526,1965307,0
196526,1965320,1
196527,1965321,0
196527,196590,1
196528,1965333,0
196528,1965306,1
196529,1965346,0
196529,1965360,1
196530,1965361,0
196530,1965374,1
196531,1965274,0
196531,1965387,1
196532,1965151,0
196532,1965391,1
196533,196594,0
196533,1965403,1
196534,1965404,0
196534,1965411,1
196535,1965412,0
196535,1965427,1
196536,1965428,0
196536,1965430,1
196537,1965412,0
196537,1965432,1
196538,1965433,0
196538,1965438,1
196539,1965439,0
196539,1965449,1
196540,1965450,0
196540,1965455,1
196541,1965128,0
196541,1965457,1
196542,1965458,0
196542,1965473,1
196543,1965474,0
196543,1965282,1
196544,1965485,0
196544,1965301,1
196545,1965497,0
196545,1965510,1
196546,1965511,0
196546,1965301,1
196547,1965519,0
196547,1965524,1
196548,1965525,0
196548,1965535,1
196549,1965536,0
196549,1965551,1
196550,1965552,0
196550,1965121,1
196551,1965557,0
196551,1965571,1
196552,196597,0
196552,1965583,1
196553,1965584,0
196553,1965592,1
196554,1965593,0
196554,1965606,1
196555,1965607,0
196555,1965525,1
196556,1965617,0
196556,1965630,1
196557,1965105,0
196557,1965641,1
196558,1965642,0
196558,1965653,1
196559,1965654,0
196559,1965561,1
196560,1965662,0
196560,1965671,1
196561,1965672,0
196561,1965671,1
196562,1965680,0
196562,1965671,1
196563,1965684,0
196563,1965688,1
196564,1965689,0
196564,1965692,1
196565,1965349,0
196565,1965700,1
196566,1965701,0
196566,1965715,1
196567,1965716,0
196567,1965726,1
196568,1965105,0
196568,1965739,1
196569,1965740,0
196569,1965753,1
196570,1965516,0
196570,1965758,1
196571,1965172,0
196571,1965762,1
196572,1965763,0
196572,1965784,1
196573,1965105,0
196573,1965525,1
196574,1965794,0
196574,1965807,1
196575,1965151,0
196575,1965812,1
196576,1965813,0
196576,1965822,1
196577,1965784,0
196577,1965828,1
196578,1965829,0
196578,1965838,1
196579,1965349,0
196579,1965845,1
196580,1965349,0
196580,1965662,1
196581,1965349,0
196581,1965100,1
196582,1965349,0
196582,1965132,1
196583,1965870,0
196583,1965871,1
196584,1965872,0
196584,1965890,1
196585,1965872,0
196585,1965894,1
196586,1965876,0
196586,1965897,1
196587,1965898,0
196587,1965914,1
196588,1965872,0
196588,1965918,1
196589,1965919,0
196589,1965935,1
196590,1965931,0
196590,1965936,1
196591,1965907,0
196591,1965893,1
196592,1965907,0
196592,1965935,1
196593,1965940,0
196593,1965948,1
