stop_name,type,line_name,stop_id,location,identifier
Pankow (Vinetastr.),u-bahn,A,19650_east,,
Schönhauser Allee,u-bahn,A,19651_east,,
Dimitroffstr.,u-bahn,A,19652_east,,
Senefelderplatz,u-bahn,A,19653_east,,
Luxemburgplatz,u-bahn,A,19654_east,,
Alexanderplatz,u-bahn,A,19655_east,,
Klosterstr.,u-bahn,A,19656_east,,
Märkisches Museum,u-bahn,A,19657_east,,
Spittelmarkt,u-bahn,A,19658_east,,
Hausvogteiplatz,u-bahn,A,19659_east,,
Stadtmitte (Mohrenstr.),u-bahn,A,196510_east,,
Thälmannplatz,u-bahn,A,196511_east,,
Alexanderplatz,u-bahn,E,196512_east,,
Schillingstr.,u-bahn,E,196513_east,,
Strausberger Platz,u-bahn,E,196514_east,,
Marchlewskistr.,u-bahn,E,196515_east,,
Frankfurter Tor,u-bahn,E,196516_east,,
Samariterstr.,u-bahn,E,196517_east,,
Frankfurter Allee (Ringbahn),u-bahn,E,196518_east,,
Magdalenenstr.,u-bahn,E,196519_east,,
Bahnhof Lichtenberg (Zentralfriedhof),u-bahn,E,196520_east,,
Friedrichsfelde (Tierpark),u-bahn,E,196521_east,,
Adalbertstrasse Ecke Köpenickerstrasse,tram,1,196522_east,,
Ostbahnhof,tram,1,196523_east,,
U-Bhf. Strausberger Platz,tram,1,196524_east,,
Leninplatz,tram,1,196525_east,,
"Alexanderplatz, Memhardstrasse",tram,1,196526_east,,
Rosenthaler Platz,tram,1,196527_east,,
Invalidenstrasse Ecke Brunnenstrasse,tram,1,196528_east,,
Chausseestrasse Ecke Invalidenstrasse,tram,1,196529_east,,
Walter-Ulbricht-Stadion,tram,1,196530_east,,
Köpenickerstrasse Ecke Adalbertstrasse,autobus,A 1 P,196531_east,,
S-Bhf. Jannowitzbrücke,autobus,A 1 P,196532_east,,
"Alexanderplatz, Grunerstrasse",autobus,A 1 P,196533_east,,
Revalerstrasse (S-Bhf. Warschauer Strasse),tram,3,196534_east,,
Kopernikusstrasse,tram,3,196535_east,,
Boxhagenerstrasse,tram,3,196536_east,,
Bhf. Frankfurter Allee,tram,3,196537_east,,
Roederplatz,tram,3,196538_east,,
HohenSchönhauser Strasse,tram,3,196539_east,,
Omnibus Bhf. Lichtenberger Strasse,tram,3,196540_east,,
Klement-Gottwald-Allee,tram,3,196541_east,,
Antonplatz,tram,3,196542_east,,
Prenzlauer Promenade,tram,3,196543_east,,
Schönhauser Allee,tram,3,196544_east,,
Björnsonstrasse,tram,3,196545_east,,
Revalerstrasse (S-Bhf. Warschauer Strasse),tram,4,196546_east,,
Grünberger Strasse Ecke Warschauerstrasse,tram,4,196547_east,,
Frankfurter Tor,tram,4,196548_east,,
Bersarinplatz,tram,4,196549_east,,
Leninallee Ecke Dimitroffstrasse,tram,4,196550_east,,
Kniprodestrasse Ecke Dimitroffstrasse,tram,4,196551_east,,
Greifswalder Strasse Ecke Dimitroffstrasse,tram,4,196552_east,,
Prenzlauer Allee Ecke Dimitroffstrasse,tram,4,196553_east,,
U-Bhf. Dimitroffstrasse,tram,4,196554_east,,
Eberswalder Strasse,tram,4,196555_east,,
Heinrich-Heine-Strasse Ecke Schmidstrasse,tram,11,196556_east,,
S-Bhf. Jannowitzbrücke,tram,11,196557_east,,
"Alexanderplatz, Memhardstrasse",tram,11,196558_east,,
Rosenthaler Platz,tram,11,196559_east,,
Brunnenstrasse Ecke Invalidenstrasse,tram,11,196560_east,,
Invalidenstrasse Ecke Chausseestrasse,tram,11,196561_east,,
