stop_name,type,line_name,stop_id,location,identifier
"Marienfelde, Daimlerstrasse",strassenbahn,15,19650,,
Großbeerenstrasse Ecke Daimlerstrasse,strassenbahn,15,19651,,
Körtingstrasse Ecke Großbeerenstrasse,strassenbahn,15,19652,,
Mariendorferdamm Ecke Alt-Mariendorf,strassenbahn,15,19653,,
Imbosweg Ecke Alt-Mariendorf,strassenbahn,15,19654,,
Mariendamm Friedhof,strassenbahn,15,19655,,
Industriestrasse Ecke Rixdorferstrasse,strassenbahn,15,19656,,
Germaniastrasse Ecke Gottlieb-Dunkel-Strasse,strassenbahn,15,19657,,
"Frauenklinik, Mariendorferweg",strassenbahn,15,19658,,
Hermannstrasse/Britzer Damm,strassenbahn,15,19659,,
U-Bhf. Neukölln,strassenbahn,15,196510,,
Richardstrasse Ecke Braunschweigerstrasse,strassenbahn,15,196511,,
Saalestrasse Ecke Braunschweigerstrasse,strassenbahn,15,196512,,
Dammweg Ecke Sonnenallee,strassenbahn,15,196513,,
Schulenburgpark,strassenbahn,15,196514,,
Gradestrasse Ecke Tempelhofer Weg,strassenbahn,47,196515,,
U-Bhf. Blaschkoallee,strassenbahn,47,196516,,
Buschkrug Ecke Blaschkoallee,strassenbahn,47,196517,,
Onkel-Herse-Strasse Ecke Buschkrugalee,strassenbahn,47,196518,,
Parchimerallee Ecke Buschkrugallee,strassenbahn,47,196519,,
Grünerweg Ecke Buschkrugallee,strassenbahn,47,196520,,
Krankenhaus Neukölln,strassenbahn,47,196521,,
Johannisthaler Chaussee Ecke Rudowerstrasse,strassenbahn,47,196522,,
Wildmeisterdamm Ecke Neuköllnerstrasse,strassenbahn,47,196523,,
Stubenrauchstrasse Ecke Neuköllnerstrasse,strassenbahn,47,196524,,
Köpenickerstrasse Ecke Neuköllnerstrasse,strassenbahn,47,196525,,
Groß-Ziethener-Chaussee Ecke Waltersdorferchaussee,strassenbahn,47,196526,,
"Rudow, Stadtgrenze",strassenbahn,47P,196527,,
Richard-Wagner-Platz,strassenbahn,53,196528,,
Luisenlatz,strassenbahn,53,196529,,
Klausenerplatz,strassenbahn,53,196530,,
Kirschenallee Ecke Spandauerdamm,strassenbahn,53,196531,,
Schloß Ruhwald,strassenbahn,53,196532,,
