stop_name,type,line_name,stop_id,location,identifier
Stadtmitte (Mohrenstr.),u-bahn,A,196510,"52.51167,13.38472",Q658391
Frankfurter Allee (Ringbahn),u-bahn,E,196517,"52.513638888889,13.475694444444",Q3752007
Adalbertstrasse Ecke Köpenickerstrasse,strassenbahn,1,196521,"52.50882154334809, 13.424638857582666",
Invalidenstrasse Ecke Brunnenstrasse,strassenbahn,1,196527,"52.532454, 13.397424",Q65691740
Chausseestrasse Ecke Invalidenstrasse,strassenbahn,1,196528,"52.5304158,13.3827302",Q65552697
Revalerstrasse (S-Bhf. Warschauer Strasse),strassenbahn,3,196533,"52.506416666667,13.450955555556",Q111252298
Boxhagenerstrasse,strassenbahn,3,196535,"52.5088235,13.465969",Q65675805
Hohenschönhauser Strasse,strassenbahn,3,196538,"52.5359329,13.4729468",Q65553684
Omnibus Bhf. Lichtenberger Strasse,strassenbahn,3,196539,"52.5442346,13.4687215",Q65939077
Björnsonstrasse,strassenbahn,3,196544,"52.5544232,13.4030585",Q65920495
Grünberger Strasse Ecke Warschauerstrasse,strassenbahn,4,196545,"52.5122359,13.452609",Q65706239
Eberswalder Strasse,strassenbahn,4,196553,"52.540989, 13.406549",Q65719051
Heinrich-Heine-Strasse Ecke Schmidstrasse,strassenbahn,11,196554,"52.510985527920624, 13.416475371446467",
Clara-Zetkin-Strasse Ecke Friedrichstrasse,strassenbahn,11,196559,"52.51870902819208, 13.388528888621812",
S-Bhf. Schönhauser Allee,strassenbahn,46,196576,"52.5493619,13.4135734",Q65088013
"Niederschönhausen, Idastrasse",strassenbahn,46P,196578,"52.58375905127916, 13.411887738748979",
Berlinerstrasse Ecke Hauptstrasse,strassenbahn,63,196587,"52.54895095369612, 13.50323270820153",
Brunnenstrasse Ecke Veteranenstrasse,strassenbahn,70,1965112,"52.532454, 13.397424",Q65691740
Saarbrückerstrasse Ecke Prenzlauer Allee,strassenbahn,71,1965118,"52.52853947773325, 13.4170781179558",
Taubenstrasse Ecke Glinkastrasse,strassenbahn,72,1965124,"52.5128273074629, 13.38653521126399",
Bernkasteler Strasse Ecke Klement-Gottwald-Allee,strassenbahn,74 E,1965125,"52.55694520974668, 13.469227397791636",
Klement-Gottwald-Allee Ecke Buschallee,strassenbahn,74 E,1965126,"52.5537598,13.4691966",Q65546661
Buschallee Ecke Klement-Gottwald-Strasse,strassenbahn,74,1965130,"52.5537598,13.4691966",Q65546661
Lichtenberger-Strasse Ecke Klement-Gottwald-Strasse,strassenbahn,74,1965131,"52.552177, 13.46596",Q65548831
Chausseestrasse Ecke Invalidenstrasse,strassenbahn,82,1965143,"52.5304158,13.3827302",Q65552697
Betriebsstelle Köpenick,strassenbahn,83,1965147,"52.439913, 13.581782",Q66370900
Wiener Brücke,strassenbahn,95,1965189,"52.49588477409083, 13.43650068505988",
"Schöneiche, Dorfaue",strassenbahn,"S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB schöneiche-Rüdersdorf)",1965194,"52.478762, 13.700398",Q66563742
"Schöneiche, Grätzwalde",strassenbahn,"S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB schöneiche-Rüdersdorf)",1965196,"52.473893, 13.713402",Q66552987
Lutherstrasse Ecke Lindenstrasse,bus,A22,1965252,"52.42779152612815, 13.730535487117827",
Klement-Gottwald-Allee Ecke Pistoriusstrasse,bus,A45,1965328,"52.55009435565474, 13.45900710843341",
"Wilhelmsruh, Hauptstrasse",bus,A55,1965356,"52.59724375258745, 13.375518833120681",
Klement-Gottwald-Allee Ecke Feldtmannstrasse,bus,A55,1965357,"52.56399507074226, 13.469773497549905",
"Weißensee, Piesporter Strasse",bus,A55,1965358,"52.560428325050296, 13.476578086985889",
"Prenzlauer Allee, Wichertstrasse",bus,A56,1965364,"52.54598538544363, 13.42701249767893",
Dimitroffstrasse - Am Friedrichshain,bus,A57,1965366,"52.5362177572407, 13.433017500945247 - 52.52825435596662, 13.423842320244663",
"Groß Ziethen, Friedrich-Ebert-Strasse",bus,AZ,1965411,"52.41404104155547, 13.438879163306126",
Klein Ziethen,bus,AZ,1965412,"52.38004126054804, 13.445223009311983",
Schöneweide,s-bahn,KBS 103,1965447,"52.455,13.509444444444",Q111323931
Betriebsbahnhof Schöneweide,s-bahn,KBS 103,1965448,"52.44676,13.52391",Q4526101
Zentralflughafen Berlin-Schönefeld,s-bahn,KBS 103a,1965457,"52.3914,13.5128",Q661069
Schönfließ,s-bahn,KBS 104,1965464,"52.6648,13.3397",Q801423
