stop_name,type,line_name,stop_id,location,identifier
"Marienfelde, Daimlerstrasse",strassenbahn,15,19650,,
Großbeerenstrasse Ecke Daimlerstrasse,strassenbahn,15,19651,,
Mariendorferdamm Ecke Alt-Mariendorf,strassenbahn,15,19653,,
Imbosweg Ecke Alt-Mariendorf,strassenbahn,15,19654,,
Mariendamm Friedhof,strassenbahn,15,19655,,
Industriestrasse Ecke Rixdorferstrasse,strassenbahn,15,19656,,
"Frauenklinik, Mariendorferweg",strassenbahn,15,19658,,
Hermannstrasse/Britzer Damm,strassenbahn,15,19659,,
Richardstrasse Ecke Braunschweigerstrasse,strassenbahn,15,196511,,
Saalestrasse Ecke Braunschweigerstrasse,strassenbahn,15,196512,,
U-Bhf. Blaschkoallee,strassenbahn,47,196516,,
Buschkrug Ecke Blaschkoallee,strassenbahn,47,196517,,
Onkel-Herse-Strasse Ecke Buschkrugalee,strassenbahn,47,196518,,
Parchimerallee Ecke Buschkrugallee,strassenbahn,47,196519,,
Grünerweg Ecke Buschkrugallee,strassenbahn,47,196520,,
Wildmeisterdamm Ecke Neuköllnerstrasse,strassenbahn,47,196523,,
Stubenrauchstrasse Ecke Neuköllnerstrasse,strassenbahn,47,196524,,
Köpenickerstrasse Ecke Neuköllnerstrasse,strassenbahn,47,196525,,
Groß-Ziethener-Chaussee Ecke Waltersdorferchaussee,strassenbahn,47,196526,,
"Rudow, Stadtgrenze",strassenbahn,47P,196527,,
Luisenlatz,strassenbahn,53,196529,,
Kirschenallee Ecke Spandauerdamm,strassenbahn,53,196531,,
Spandauer Markt,strassenbahn,53,196536,,
Lynarstrasse Ecke Neuendorferstrasse,strassenbahn,53,196538,,
Hohenzollernring Ecke Neuendorferstrasse,strassenbahn,53,196539,,
"Hakenfelde, Niederneuendorferallee",strassenbahn,53,196540,,
Lynarstrasse Ecke Schönwalderstrasse,strassenbahn,54,196541,,
Hohenzollernring Lynarstrasse Ecke Schönwalderstrasse,strassenbahn,54,196542,,
"Spandau, Johannesstift",strassenbahn,54,196543,,
Otto-Suhr-Allee Ecke Leibnizstrasse Richard-Wagner-Platz,strassenbahn,55,196546,,
Osnabrückerstrasse Ecke Tegelerweg,strassenbahn,55,196548,,
