stop_name,location,type,line_name,stop_id,identifier
"Marienfelde, Daimlerstrasse","52.42393712081527, 13.380222945181396",strassenbahn,15,19650,
Großbeerenstrasse Ecke Daimlerstrasse,"52.42636275776503, 13.374381682813029",strassenbahn,15,19651,
Mariendorferdamm Ecke Alt-Mariendorf,"52.440168151485565, 13.387309966430406",strassenbahn,15,19653,
Imbrosweg Ecke Rixdorferstrasse,"52.44352626638539, 13.39862544219994",strassenbahn,15,19654,
Mariendamm Friedhof,"52.44953069256824, 13.404755931664896",strassenbahn,15,19655,
Industriestrasse Ecke Gottlieb-Dunkel-Strasse,"52.45533606909198, 13.409895709295062",strassenbahn,15,19656,
"Frauenklinik, Mariendorferweg","52.463949908172545, 13.427509548910932",strassenbahn,15,19658,
Hermannstrasse/Britzer Damm,"52.462760731721126, 13.434390915304967",strassenbahn,15,19659,
Richardstrasse Ecke Braunschweigerstrasse,"52.47098037888787, 13.446345512619184",strassenbahn,15,196511,
Saalestrasse Ecke Braunschweigerstrasse,"52.47386377401702, 13.455920586159934",strassenbahn,15,196512,
U-Bhf. Blaschkoallee,"52.452474291729544, 13.449025912618044",strassenbahn,47,196516,
Buschkrugallee Ecke Blaschkoallee,"52.45253091864681, 13.45217108563318",strassenbahn,47,196517,
Onkel-Herse-Strasse Ecke Buschkrugallee,"52.44824571610107, 13.453925780080041",strassenbahn,47,196518,
Parchimerallee Ecke Buschkrugallee,"52.44543068731432, 13.454976149393016",strassenbahn,47,196519,
Grünerweg Ecke Buschkrugallee,"52.442562490719794, 13.456345654945705",strassenbahn,47,196520,
Wildmeisterdamm Ecke Neuköllnerstrasse,"52.42577675180607, 13.483239248371204",strassenbahn,47,196523,
Stubenrauchstrasse Ecke Neuköllnerstrasse,"52.42416861882397, 13.485443481929506",strassenbahn,47,196524,
Köpenickerstrasse Ecke Neuköllnerstrasse,"52.416931838652935, 13.494088673314398",strassenbahn,47,196525,
Groß-Ziethener-Chaussee Ecke Waltersdorferchaussee,"52.41611360951291, 13.497418968436543",strassenbahn,47,196526,
