stop_name,type,line_name,stop_id,location,identifier
"Marienfelde, Daimlerstrasse",strassenbahn,15,19650,,
Großbeerenstrasse Ecke Daimlerstrasse,strassenbahn,15,19651,,
Körtingstrasse Ecke Großbeerenstrasse,strassenbahn,15,19652,"52.434813531058246, 13.378315641328395",
Mariendorferdamm Ecke Alt-Mariendorf,strassenbahn,15,19653,,
Imbrosweg Ecke Rixdorferstrasse,strassenbahn,15,19654,,
Mariendamm Friedhof,strassenbahn,15,19655,,
Industriestrasse Ecke Gottlieb-Dunkel-Strasse,strassenbahn,15,19656,,
Germaniastrasse Ecke Gottlieb-Dunkel-Strasse,strassenbahn,15,19657,"52.46053987437175, 13.418058888486561",
"Frauenklinik, Mariendorferweg",strassenbahn,15,19658,,
Hermannstrasse/Britzer Damm,strassenbahn,15,19659,,
U-Bhf. Neukölln,strassenbahn,15,196510,"52.46965567921364, 13.441614939772098",
Richardstrasse Ecke Braunschweigerstrasse,strassenbahn,15,196511,,
Saalestrasse Ecke Sonnenallee,strassenbahn,15,196512,"52.473848429165976, 13.455898573146731",
Dammweg Ecke Sonnenallee,strassenbahn,15,196513,"52.4702891791955, 13.464619670250386",
Schulenburgpark,strassenbahn,15,196514,"52.466660612786704, 13.470292593214328",
Gradestrasse Ecke Tempelhofer Weg,strassenbahn,47,196515,"52.452539318651766, 13.433056825223494",
U-Bhf. Blaschkoallee,strassenbahn,47,196516,,
Buschkrugallee Ecke Blaschkoallee,strassenbahn,47,196517,,
Onkel-Herse-Strasse Ecke Buschkrugallee,strassenbahn,47,196518,,
Parchimerallee Ecke Buschkrugallee,strassenbahn,47,196519,,
Grünerweg Ecke Buschkrugallee,strassenbahn,47,196520,,
Krankenhaus Neukölln,strassenbahn,47,196521,"52.43977054074335, 13.459359057866306",
Johannisthaler Chaussee Ecke Rudowerstrasse,strassenbahn,47,196522,"52.43431775171152, 13.469043329262897",
Wildmeisterdamm Ecke Neuköllnerstrasse,strassenbahn,47,196523,,
Stubenrauchstrasse Ecke Neuköllnerstrasse,strassenbahn,47,196524,,
Köpenickerstrasse Ecke Neuköllnerstrasse,strassenbahn,47,196525,,
Groß-Ziethener-Chaussee Ecke Waltersdorferchaussee,strassenbahn,47,196526,,
