stop_order,line_id,stop_id
0,19651,19650
1,19651,19651
2,19651,19652
3,19651,19653
4,19651,19654
5,19651,19655
6,19651,19656
7,19651,19657
8,19651,19658
9,19651,19659
10,19651,196510
11,19651,196511
12,19651,196512
13,19651,196513
14,19651,196514
0,196510,196583
1,196510,196584
2,196510,196585
3,196510,196586
4,196510,196587
5,196510,196588
6,196510,196589
7,196510,196590
8,196510,196591
9,196510,196592
10,196510,196593
11,196510,196594
12,196510,196595
13,196510,196596
14,196510,196597
15,196510,196598
16,196510,196599
17,196510,1965100
18,196510,1965101
19,196510,1965102
0,1965100,1965981
1,1965100,1965992
2,1965100,1965993
3,1965100,1965994
0,1965101,1965995
1,1965101,1965996
2,1965101,1965997
3,1965101,1965934
4,1965101,1965998
5,1965101,1965984
6,1965101,1965999
7,1965101,19651000
0,1965102,1965976
1,1965102,19651001
2,1965102,19651002
3,1965102,19651003
4,1965102,19651004
5,1965102,19651005
6,1965102,1965941
7,1965102,1965965
8,1965102,1965950
0,196511,1965103
1,196511,1965104
2,196511,1965105
3,196511,1965106
4,196511,1965107
5,196511,1965108
6,196511,1965109
7,196511,1965110
8,196511,1965111
9,196511,1965112
10,196511,1965113
11,196511,1965114
12,196511,1965115
13,196511,1965116
0,196512,196598
1,196512,1965117
2,196512,1965118
3,196512,196596
4,196512,1965119
5,196512,1965120
6,196512,1965121
7,196512,1965122
8,196512,1965123
9,196512,1965124
10,196512,1965125
11,196512,1965126
12,196512,1965127
13,196512,1965128
14,196512,1965129
15,196512,1965130
0,196513,1965131
1,196513,1965132
2,196513,1965133
3,196513,1965134
4,196513,1965135
5,196513,196588
6,196513,1965136
7,196513,1965137
8,196513,1965138
9,196513,1965139
10,196513,1965140
11,196513,1965141
12,196513,1965142
13,196513,1965143
14,196513,1965144
15,196513,1965145
16,196513,1965146
17,196513,1965147
18,196513,1965148
0,196514,1965149
1,196514,1965150
2,196514,1965151
3,196514,1965152
4,196514,1965153
5,196514,1965154
6,196514,1965155
7,196514,1965156
8,196514,1965157
9,196514,1965158
0,196515,1965159
1,196515,1965160
2,196515,1965161
3,196515,1965129
4,196515,1965162
5,196515,1965163
6,196515,1965164
7,196515,1965165
0,196516,1965166
1,196516,1965167
2,196516,1965168
3,196516,1965169
4,196516,1965170
5,196516,1965171
6,196516,1965172
7,196516,1965173
8,196516,1965134
9,196516,1965174
10,196516,1965175
11,196516,1965176
12,196516,1965177
13,196516,1965178
14,196516,1965179
15,196516,1965180
16,196516,1965181
17,196516,1965182
18,196516,1965183
19,196516,1965184
0,196517,1965185
1,196517,196596
2,196517,1965186
3,196517,1965187
4,196517,1965188
5,196517,1965189
6,196517,1965190
7,196517,1965191
8,196517,1965192
9,196517,1965193
10,196517,1965194
11,196517,1965195
12,196517,1965196
13,196517,1965197
14,196517,1965198
15,196517,1965199
0,196518,1965200
1,196518,1965201
2,196518,1965202
3,196518,1965203
4,196518,1965204
5,196518,1965205
6,196518,1965206
7,196518,1965207
8,196518,1965208
9,196518,1965209
10,196518,1965210
11,196518,1965211
12,196518,1965212
13,196518,1965213
14,196518,1965214
15,196518,1965215
0,196519,1965216
1,196519,1965217
2,196519,1965218
3,196519,1965219
4,196519,1965220
5,196519,1965221
6,196519,1965222
7,196519,1965223
8,196519,1965224
9,196519,1965225
10,196519,1965226
11,196519,1965154
12,196519,1965227
13,196519,1965228
14,196519,1965229
15,196519,1965230
0,19652,196515
1,19652,196516
2,19652,196517
3,19652,196518
4,19652,196519
5,19652,196520
6,19652,196521
7,19652,196522
8,19652,196523
9,19652,196524
10,19652,196525
11,19652,196526
0,196520,1965216
1,196520,1965231
2,196520,1965232
3,196520,1965233
4,196520,1965234
5,196520,1965220
6,196520,1965235
7,196520,1965236
8,196520,1965207
9,196520,1965237
10,196520,1965238
11,196520,1965239
12,196520,1965240
13,196520,1965241
14,196520,1965242
15,196520,1965243
16,196520,1965244
0,196521,1965245
1,196521,1965246
2,196521,1965247
3,196521,1965248
4,196521,1965249
5,196521,1965250
6,196521,1965251
7,196521,1965220
8,196521,1965252
9,196521,1965253
10,196521,1965254
11,196521,1965255
12,196521,1965256
13,196521,1965257
14,196521,1965258
0,196522,1965259
1,196522,1965260
2,196522,1965203
3,196522,1965261
4,196522,1965262
5,196522,1965263
6,196522,1965264
7,196522,1965265
8,196522,1965266
9,196522,1965267
10,196522,1965138
11,196522,1965139
12,196522,1965106
13,196522,1965268
14,196522,196592
15,196522,1965269
0,196523,1965270
1,196523,1965271
2,196523,1965272
3,196523,1965273
4,196523,1965274
5,196523,1965107
6,196523,1965275
7,196523,1965276
8,196523,1965277
9,196523,1965112
10,196523,1965278
11,196523,1965279
12,196523,1965194
13,196523,1965280
14,196523,1965281
0,196524,1965185
1,196524,196596
2,196524,1965282
3,196524,1965283
4,196524,196597
5,196524,1965284
6,196524,1965285
7,196524,1965286
8,196524,1965287
9,196524,1965288
10,196524,1965289
11,196524,1965290
12,196524,1965291
13,196524,1965129
14,196524,1965292
15,196524,1965293
0,196525,1965272
1,196525,1965271
2,196525,1965294
3,196525,1965134
4,196525,1965295
5,196525,1965296
6,196525,1965297
7,196525,1965298
8,196525,1965299
9,196525,1965267
10,196525,1965300
11,196525,1965301
12,196525,1965302
13,196525,1965303
14,196525,1965304
0,196526,1965305
1,196526,1965306
2,196526,1965307
3,196526,1965308
4,196526,1965234
5,196526,1965309
6,196526,1965220
7,196526,1965310
8,196526,1965311
9,196526,1965312
10,196526,1965313
11,196526,1965314
12,196526,1965315
13,196526,1965316
14,196526,1965317
0,196527,1965318
1,196527,1965319
2,196527,1965320
3,196527,1965248
4,196527,1965321
5,196527,1965322
6,196527,1965323
7,196527,1965324
8,196527,1965325
9,196527,1965326
10,196527,1965327
11,196527,1965328
12,196527,1965172
13,196527,1965173
14,196527,1965329
