stop_name,type,line_name,stop_id,location,identifier,district,neighborhood,east_west_admin
"Marienfelde, Daimlerstrasse",tram,15,19650,"52.42393712,13.38022295",,Tempelhof-Schöneberg,Marienfelde,west
"Marienfelde, Daimlerstrasse",strassenbahn,15,19650,"52.42393712,13.38022295",,,,
Großbeerenstrasse Ecke Daimlerstrasse,strassenbahn,15,19651,"52.42636276,13.37438168",,,,
Großbeerenstrasse Ecke Daimlerstrasse,tram,15,19651,"52.42636276,13.37438168",,Tempelhof-Schöneberg,Marienfelde,west
Körtingstrasse Ecke Großbeerenstrasse,tram,15,19652,"52.43481353,13.37831564",,Tempelhof-Schöneberg,Mariendorf,west
Mariendorferdamm Ecke Alt-Mariendorf,tram,15,19653,"52.44016815,13.38730997",,Tempelhof-Schöneberg,Mariendorf,west
Mariendorferdamm Ecke Alt-Mariendorf,strassenbahn,15,19653,"52.44016815,13.38730997",,,,
Imbrosweg Ecke Rixdorferstrasse,strassenbahn,15,19654,"52.44352627,13.39862544",,,,
Imbrosweg Ecke Rixdorferstrasse,tram,15,19654,"52.44352627,13.39862544",,Tempelhof-Schöneberg,Mariendorf,west
Mariendamm Friedhof,strassenbahn,15,19655,"52.44953069,13.40475593",,,,
Mariendamm Friedhof,tram,15,19655,"52.44953069,13.40475593",,Tempelhof-Schöneberg,Mariendorf,west
Industriestrasse Ecke Gottlieb-Dunkel-Strasse,strassenbahn,15,19656,"52.45533607,13.40989571",,,,
Industriestrasse Ecke Gottlieb-Dunkel-Strasse,tram,15,19656,"52.45533607,13.40989571",,Tempelhof-Schöneberg,Tempelhof,west
Germaniastrasse Ecke Gottlieb-Dunkel-Strasse,tram,15,19657,"52.46053987,13.41805889",,Tempelhof-Schöneberg,Tempelhof,west
"Frauenklinik, Mariendorferweg",strassenbahn,15,19658,"52.46394991,13.42750955",,,,
"Frauenklinik, Mariendorferweg",tram,15,19658,"52.46394991,13.42750955",,Neukölln,Neukölln,east
Hermannstrasse/Britzer Damm,tram,15,19659,"52.46276073,13.43439092",,Neukölln,Britz,west
Hermannstrasse/Britzer Damm,strassenbahn,15,19659,"52.46276073,13.43439092",,,,
U-Bhf. Neukölln,tram,15,196510,"52.46965568,13.44161494",,Neukölln,Neukölln,east
Richardstrasse Ecke Braunschweigerstrasse,tram,15,196511,"52.47098038,13.44634551",,Neukölln,Neukölln,east
Richardstrasse Ecke Braunschweigerstrasse,strassenbahn,15,196511,"52.47098038,13.44634551",,,,
Saalestrasse Ecke Sonnenallee,tram,15,196512,"52.47384843,13.45589857",,Neukölln,Neukölln,east
Saalestrasse Ecke Braunschweigerstrasse,strassenbahn,15,196512,"52.47386377,13.45592059",,,,
Dammweg Ecke Sonnenallee,tram,15,196513,"52.47028918,13.46461967",,Neukölln,Neukölln,east
Schulenburgpark,tram,15,196514,"52.46666061,13.47029259",,Neukölln,Neukölln,east
Gradestrasse Ecke Tempelhofer Weg,tram,47,196515,"52.45253932,13.43305683",,Neukölln,Britz,west
U-Bhf. Blaschkoallee,strassenbahn,47,196516,"52.45247429,13.44902591",,,,
U-Bhf. Blaschkoallee,tram,47,196516,"52.45247429,13.44902591",,Neukölln,Britz,west
Buschkrugallee Ecke Blaschkoallee,strassenbahn,47,196517,"52.45253092,13.45217109",,,,
Buschkrugallee Ecke Blaschkoallee,tram,47,196517,"52.45253092,13.45217109",,Neukölln,Britz,west
Onkel-Herse-Strasse Ecke Buschkrugallee,tram,47,196518,"52.44824572,13.45392578",,Neukölln,Britz,west
Onkel-Herse-Strasse Ecke Buschkrugallee,strassenbahn,47,196518,"52.44824572,13.45392578",,,,
Parchimerallee Ecke Buschkrugallee,strassenbahn,47,196519,"52.44543069,13.45497615",,,,
Parchimerallee Ecke Buschkrugallee,tram,47,196519,"52.44543069,13.45497615",,Neukölln,Britz,west
Grünerweg Ecke Buschkrugallee,strassenbahn,47,196520,"52.44256249,13.45634565",,,,
Grünerweg Ecke Buschkrugallee,tram,47,196520,"52.44256249,13.45634565",,Neukölln,Britz,west
Krankenhaus Neukölln,tram,47,196521,"52.43977054,13.45935906",,Neukölln,Buckow,west
Johannisthaler Chaussee Ecke Rudowerstrasse,tram,47,196522,"52.43431775,13.46904333",,Neukölln,Buckow,west
Wildmeisterdamm Ecke Neuköllnerstrasse,tram,47,196523,"52.42577675,13.48323925",,Neukölln,Rudow,west
Wildmeisterdamm Ecke Neuköllnerstrasse,strassenbahn,47,196523,"52.42577675,13.48323925",,,,
Stubenrauchstrasse Ecke Neuköllnerstrasse,tram,47,196524,"52.42416862,13.48544348",,Neukölln,Rudow,west
Stubenrauchstrasse Ecke Neuköllnerstrasse,strassenbahn,47,196524,"52.42416862,13.48544348",,,,
Köpenickerstrasse Ecke Neuköllnerstrasse,tram,47,196525,"52.41693184,13.49408867",,Neukölln,Rudow,west
Köpenickerstrasse Ecke Neuköllnerstrasse,strassenbahn,47,196525,"52.41693184,13.49408867",,,,
Groß-Ziethener-Chaussee Ecke Waltersdorferchaussee,tram,47,196526,"52.41611361,13.49741897",,Neukölln,Rudow,west
Groß-Ziethener-Chaussee Ecke Waltersdorferchaussee,strassenbahn,47,196526,"52.41611361,13.49741897",,,,
"Rudow, Stadtgrenze",tram,47P,196527,"52.40149832,13.51359770",,Neukölln,Rudow,west
"Rudow, Stadtgrenze",strassenbahn,47P,196527,"52.40149832,13.51359770",,,,
Richard-Wagner-Platz,tram,53,196528,"52.51757062,13.30624812",,Charlottenburg-Wilmersdorf,Charlottenburg,west
Luisenplatz,strassenbahn,53,196529,"52.52039497,13.29942701",,,,
Luisenplatz,tram,53,196529,"52.52039497,13.29942701",,Charlottenburg-Wilmersdorf,Charlottenburg,west
Klausenerplatz,tram,53,196530,"52.51920201,13.29186737",,Charlottenburg-Wilmersdorf,Charlottenburg,west
Kirschenallee Ecke Spandauerdamm,strassenbahn,53,196531,"52.52038534,13.26714901",,,,
Kirschenallee Ecke Spandauerdamm,tram,53,196531,"52.52038534,13.26714901",,Charlottenburg-Wilmersdorf,Westend,west
Schloß Ruhwald,tram,53,196532,"52.52160458,13.26039687",,Charlottenburg-Wilmersdorf,Westend,west
U-Bhf. Ruhleben,tram,53,196533,"52.52595777,13.24137187",,Spandau,Spandau,west
Teltowerstrasse Ecke Ruhlebenerstrasse,tram,53,196534,"52.52649488,13.21644671",,Spandau,Wilhelmstadt,west
Freiheit,tram,53,196535,"52.53269779,13.20751844",,Spandau,Spandau,west
Spandauer Markt,tram,53,196536,"52.53687071,13.20531554",,Spandau,Spandau,west
Spandauer Markt,strassenbahn,53,196536,"52.53687071,13.20531554",,,,
Hafenplatz,tram,53,196537,"52.54229255,13.20620113",,Spandau,Spandau,west
Lynarstrasse Ecke Neuendorferstrasse,strassenbahn,53,196538,"52.54898037,13.21025253",,,,
Lynarstrasse Ecke Neuendorferstrasse,tram,53,196538,"52.54898037,13.21025253",,Spandau,Hakenfelde,west
Hohenzollernring Ecke Streitstrasse,strassenbahn,53,196539,"52.55572554,13.20753076",,,,
Hohenzollernring Ecke Streitstrasse,tram,53,196539,"52.55572554,13.20753076",,Spandau,Hakenfelde,west
"Hakenfelde, Niederneuendorferallee",strassenbahn,53,196540,"52.57049943,13.21252012",,,,
"Hakenfelde, Niederneuendorferallee",tram,53,196540,"52.57049943,13.21252012",,Spandau,Hakenfelde,west
Lynarstrasse Ecke Schönwalderstrasse,strassenbahn,54,196541,"52.54844825,13.20081057",,,,
Lynarstrasse Ecke Schönwalderstrasse,tram,54,196541,"52.54844825,13.20081057",,Spandau,Spandau,west
"Spandau, Johannesstift",tram,54,196542,"52.56762417,13.19178261",,Spandau,Hakenfelde,west
Hohenzollernring Ecke Schönwalderstrasse,strassenbahn,54,196542,"52.55536761,13.19859324",,,,
"Spandau, Johannesstift",strassenbahn,54,196543,"52.56762417,13.19178261",,,,
Bhf. Zoo,tram,55,196543,"52.50719346,13.33262988",,Spandau,Hakenfelde,west
Ernst-Reuter-Platz,tram,55,196544,"52.51159182,13.32257153",,Charlottenburg-Wilmersdorf,Charlottenburg,west
Otto-Suhr-Allee Ecke Leibnizstrasse,tram,55,196545,"52.51465062,13.31519191",,Charlottenburg-Wilmersdorf,Charlottenburg,west
Otto-Suhr-Allee Ecke Leibnizstrasse,strassenbahn,55,196546,"52.51465062,13.31519191",,,,
Osnabrückerstrasse Ecke Tegelerweg,tram,55,196546,"52.52651985,13.29732033",,Charlottenburg-Wilmersdorf,Charlottenburg,west
Jakob-Kaiser-Platz,tram,55,196547,"52.53674528,13.29357089",,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,west
Osnabrückerstrasse Ecke Tegelerweg,strassenbahn,55,196548,"52.52651985,13.29732033",,,,
Quellweg Ecke Nonnendammallee,tram,55,196548,"52.53662795,13.26837045",,Charlottenburg-Wilmersdorf,Charlottenburg,west
Paulsternstrasse Ecke Gartenfelderstrasse,tram,55,196549,"52.54412196,13.24701046",,Spandau,Haselhorst,west
Quellweg Ecke Nonnendammallee,strassenbahn,55,196550,"52.53662795,13.26837045",,,,
Zitadellenweg Ecke Am Juliusturm,tram,55,196550,"52.53777974,13.21728515",,Spandau,Siemensstadt,west
Carl-Schurz-Strasse Ecke Am Juliusturm,tram,55,196551,"52.53954502,13.20555083",,Spandau,Spandau,west
Hohenzollernring Ecke Neuendorferstrasse,tram,55,196552,"52.55571250,13.20754149",,Spandau,Hakenfelde,west
Hakenfelde,tram,55,196553,"52.57886010,13.21005780",,Spandau,Hakenfelde,west
"Zoo, Kantstrasse",tram,75,196554,"52.50528855,13.33160349",,Spandau,Hakenfelde,west
Hohenzollernring Ecke Neuendorferstrasse,strassenbahn,55,196554,"52.55571250,13.20754149",,,,
"Spandau, Hakenfelde",strassenbahn,55,196555,"52.57049943,13.21252012",,,,
Leibnizstrasse Ecke Kantstrasse,tram,75,196555,"52.50628812,13.31395372",,Spandau,Hakenfelde,west
"Zoo, Kantstrasse",strassenbahn,75,196556,"52.50528855,13.33160349",,,,
Wilmersdorferstrasse Ecke Kantstrasse,tram,75,196556,"52.50669450,13.30667544",,Charlottenburg-Wilmersdorf,Charlottenburg,west
Amtsgericht,tram,75,196557,"52.50682618,13.29739145",,Charlottenburg-Wilmersdorf,Charlottenburg,west
Messedamm,tram,75,196558,"52.50641939,13.28039244",,Charlottenburg-Wilmersdorf,Westend,west
Theodor-Heuss-Platz,tram,75,196559,"52.50948066,13.27259770",,Charlottenburg-Wilmersdorf,Westend,west
Preußenallee Ecke Heerstrasse,tram,75,196560,"52.50859211,13.25931279",,Charlottenburg-Wilmersdorf,Westend,west
Reichssportfeldstrasse Ecke Heerstrasse,tram,75,196561,"52.50751473,13.24208670",,Charlottenburg-Wilmersdorf,Westend,west
Preußenallee Ecke Heerstrasse,strassenbahn,75,196562,"52.50859211,13.25931279",,,,
Stößenseebrücke,tram,75,196562,"52.50889437,13.21747597",,Charlottenburg-Wilmersdorf,Westend,west
Reichssportfeldstrasse Ecke Heerstrasse,strassenbahn,75,196563,"52.50751473,13.24208670",,,,
Pichelsdorferstrasse Ecke Heerstrasse,tram,75,196563,"52.51311471,13.19691856",,Charlottenburg-Wilmersdorf,Westend,west
Seeburgerstrasse Ecke Klosterstrasse,tram,75,196564,"52.52914199,13.19558478",,Spandau,Wilhelmstadt,west
Rathaus Spandau,tram,75,196565,"52.53488082,13.19905885",,Spandau,Spandau,west
"Spandau, Markt",tram,75,196566,"52.53784350,13.20413543",,Spandau,Spandau,west
Hohenzollernring Ecke Schönwalderstrasse,tram,76,196567,"52.55536761,13.19859324",,Spandau,Hakenfelde,west
Johannesstift,tram,76,196568,"52.56762417,13.19178261",,Spandau,Hakenfelde,west
Lindenstrasse Ecke Kochstrasse,tram,96,196569,"52.50708787,13.39827979",,Friedrichshain-Kreuzberg,Kreuzberg,west
Mehringplatz,tram,96,196570,"52.49792491,13.39108107",,Spandau,Hakenfelde,west
Hohenzollernring Ecke Schönwalderstrasse,strassenbahn,76,196570,"52.55530890,13.19860397",,,,
Lindenstrasse Ecke Kochstrasse,strassenbahn,96,196571,"52.50708787,13.39827979",,,,
Yorckstrasse Ecke Mehringdamm,tram,96,196571,"52.49288890,13.38767014",,Friedrichshain-Kreuzberg,Kreuzberg,west
U-Bhf. Flughafen,tram,96,196572,"52.48477998,13.38596223",,Tempelhof-Schöneberg,Tempelhof,west
Yorckstrasse Ecke Mehringdamm,strassenbahn,96,196573,"52.49288890,13.38767014",,,,
Adolf-Scheidt-Platz,tram,96,196573,"52.47819486,13.37836902",,Friedrichshain-Kreuzberg,Kreuzberg,west
Berlinickeplatz,tram,96,196574,"52.46632968,13.37814469",,Tempelhof-Schöneberg,Tempelhof,west
Attilaplatz,tram,96,196575,"52.45549834,13.37561964",,Tempelhof-Schöneberg,Tempelhof,west
Ringstrasse Ecke Attilastrasse,tram,96,196576,"52.44731185,13.36209225",,Tempelhof-Schöneberg,Tempelhof,west
"Lankwitz, Kirche",tram,96,196577,"52.43629411,13.34577794",,Steglitz-Zehlendorf,Lankwitz,west
Seydlitzstrasse Ecke Kaiser-Wilhelm-Strasse,tram,96,196578,"52.43194429,13.33814378",,Steglitz-Zehlendorf,Lankwitz,west
Kranoldplatz,tram,96,196579,"52.42782085,13.32657579",,Steglitz-Zehlendorf,Lichterfelde,west
Ostpreußendamm Ecke Morgensternstrasse,tram,96,196580,"52.42589579,13.31710731",,Steglitz-Zehlendorf,Lankwitz,west
Seydlitzstrasse Ecke Kaiser-Wilhelm-Strasse,strassenbahn,96,196580,"52.43194429,13.33814378",,,,
Giesensdorferstrasse Ecke Ostpreußendamm,tram,96,196581,"52.42400572,13.31441951",,Steglitz-Zehlendorf,Lichterfelde,west
"Lichterfelde, Goerzallee",tram,96,196582,"52.41785382,13.28703404",,Steglitz-Zehlendorf,Lichterfelde,west
Ostpreußendamm Ecke Morgensternstrasse,strassenbahn,96,196582,"52.42589579,13.31710731",,,,
Waldstrasse Ecke Turmstrasse,autobus,A1,196583,"52.52720084,13.33052493",,Steglitz-Zehlendorf,Lichterfelde,west
Giesensdorferstrasse Ecke Ostpreußendamm,strassenbahn,96,196583,"52.42400572,13.31441951",,,,
"Lichterfelde, Goerzallee",strassenbahn,96,196584,"52.41785382,13.28703404",,,,
Gotzkowskybrücke,autobus,A1,196584,"52.52381238,13.32972912",,Steglitz-Zehlendorf,Lichterfelde,west
