stop_id,stop_name,type,location,in_lines,identifier,line_name,district,neighborhood,east_west_admin
19650,"Marienfelde, Daimlerstrasse",strassenbahn,"52.42393712,13.38022295",,,15,Tempelhof-Schöneberg,Marienfelde,west
19651,Großbeerenstrasse Ecke Daimlerstrasse,strassenbahn,"52.42636276,13.37438168",,,15,Tempelhof-Schöneberg,Marienfelde,west
19652,Körtingstrasse Ecke Großbeerenstrasse,strassenbahn,"52.43481353,13.37831564",,,15,Tempelhof-Schöneberg,Mariendorf,west
19653,Mariendorferdamm Ecke Alt-Mariendorf,strassenbahn,"52.44016815,13.38730997",,,15,Tempelhof-Schöneberg,Mariendorf,west
19654,Imbrosweg Ecke Rixdorferstrasse,strassenbahn,"52.44352627,13.39862544",,,15,Tempelhof-Schöneberg,Mariendorf,west
19655,Mariendamm Friedhof,strassenbahn,"52.44953069,13.40475593",,,15,Tempelhof-Schöneberg,Mariendorf,west
19656,Industriestrasse Ecke Gottlieb-Dunkel-Strasse,strassenbahn,"52.45533607,13.40989571",,,15,Tempelhof-Schöneberg,Tempelhof,west
19657,Germaniastrasse Ecke Gottlieb-Dunkel-Strasse,strassenbahn,"52.46053987,13.41805889",,,15,Tempelhof-Schöneberg,Tempelhof,west
19658,"Frauenklinik, Mariendorferweg",strassenbahn,"52.46394991,13.42750955",,,15,Neukölln,Neukölln,east
19659,Hermannstrasse/Britzer Damm,strassenbahn,"52.46276073,13.43439092",,,15,Neukölln,Britz,west
196510,U-Bhf. Neukölln,strassenbahn,"52.46965568,13.44161494",,,15,Neukölln,Neukölln,east
196511,Richardstrasse Ecke Braunschweigerstrasse,strassenbahn,"52.47098038,13.44634551",,,15,Neukölln,Neukölln,east
196512,Saalestrasse Ecke Braunschweigerstrasse,strassenbahn,"52.47386377,13.45592059",,,15,,,
196512,Saalestrasse Ecke Sonnenallee,strassenbahn,"52.47384843,13.45589857",,,15,Neukölln,Neukölln,east
196513,Dammweg Ecke Sonnenallee,strassenbahn,"52.47028918,13.46461967",,,15,Neukölln,Neukölln,east
196514,Schulenburgpark,strassenbahn,"52.46666061,13.47029259",,,15,Neukölln,Neukölln,east
196515,Gradestrasse Ecke Tempelhofer Weg,strassenbahn,"52.45253932,13.43305683",,,47,Neukölln,Britz,west
196516,U-Bhf. Blaschkoallee,strassenbahn,"52.45247429,13.44902591",,,47,Neukölln,Britz,west
196517,Buschkrugallee Ecke Blaschkoallee,strassenbahn,"52.45253092,13.45217109",,,47,Neukölln,Britz,west
196518,Onkel-Herse-Strasse Ecke Buschkrugallee,strassenbahn,"52.44824572,13.45392578",,,47,Neukölln,Britz,west
196519,Parchimerallee Ecke Buschkrugallee,strassenbahn,"52.44543069,13.45497615",,,47,Neukölln,Britz,west
196520,Grünerweg Ecke Buschkrugallee,strassenbahn,"52.44256249,13.45634565",,,47,Neukölln,Britz,west
196521,Krankenhaus Neukölln,strassenbahn,"52.43977054,13.45935906",,,47,Neukölln,Buckow,west
196522,Johannisthaler Chaussee Ecke Rudowerstrasse,strassenbahn,"52.43431775,13.46904333",,,47,Neukölln,Buckow,west
196523,Wildmeisterdamm Ecke Neuköllnerstrasse,strassenbahn,"52.42577675,13.48323925",,,47,Neukölln,Rudow,west
196524,Stubenrauchstrasse Ecke Neuköllnerstrasse,strassenbahn,"52.42416862,13.48544348",,,47,Neukölln,Rudow,west
