line_name,type,stops,frequency (7:30),length (time),Length (km),year,info
A,u-bahn,Pankow (Vinetastr.) - schönhauser Allee - Dimitroffstr. - Senefelderplatz - Luxemburgplatz - Alexanderplatz - Klosterstr. - Märkisches Museum - Spittelmarkt - Hausvogteiplatz - Stadtmitte (Mohrenstr.) - Thälmannplatz,5,19,7.5,,
E,u-bahn,Alexanderplatz - Schillingstr. - Strausberger Platz - Marchlewskistr. - Frankfurter Tor - Samariterstr. - Frankfurter Allee (Ringbahn) - Magdalenenstr. - Bahnhof Lichtenberg (Zentralfriedhof)- Friedrichsfelde (Tierpark),5,16,7.1,,
1,strassenbahn,"Adalbertstrasse Ecke Köpenickerstrasse - Ostbahnhof - U-Bhf. Strausberger Platz - Leninplatz - Alexanderplatz, Memhardstrasse - Rosenthaler Platz - Invalidenstrasse Ecke Brunnenstrasse - Chausseestrasse Ecke Invalidenstrasse - Walter-Ulbricht-Stadion",20,27,7.3,,
A 1 P,autobus,"Köpenickerstrasse Ecke Adalbertstrasse - S-Bhf. Jannowitzbrücke - Alexanderplatz, Grunerstrasse",10,6,2,,
3,strassenbahn,Revalerstrasse (S-Bhf. Warschauer Strasse) - Kopernikusstrasse - Boxhagenerstrasse - Bhf. Frankfurter Allee - Roederplatz - Hohenschönhauser Strasse - Omibus Bhf. Lichtenberger Strasse - Klement-Gottwald-Allee - Antonplatz - Prenzlauer Promenade - schönhauser Allee - Björnstrasse,12,43,11.4,,
4,strassenbahn,Revalerstrasse (S-Bhf. Warschauer Strasse) - Grünberger Strasse Ecke Warschauerstrasse - Frankfurter Tor - Bersarinplatz - Leninallee Ecke Dimitroffstrasse - Kniprodestrasse Ecke Dimitroffstrasse - Greifswalder Strasse Ecke Dimitroffstrasse - Prenzlauer Allee Ecke Dimitroffstrasse - U-Bhf. Dimitroffstrasse - Eberswalder Strasse,12,23,6.2,,
11,strassenbahn,"Heinrich-Heine-Strasse Ecke Schmidstrasse - S-Bhf. Jannowitzbrücke - Alexanderplatz, Memhardstrasse - Rosenthaler Platz - Brunnenstrasse Ecke Invalidenstrasse - Invalidenstrasse Ecke Chausseestrasse - Oranienburger Tor - Clara-Zetkin-Strasse Ecke Friedrichstrasse - Am Kupfergraben",20,27,6.2,,
13,strassenbahn,Hönower Wiesenweg Ecke Blockdammweg - Kraftwerk Klingenberg - S-Bhf. Rummelsburg - Holteistrasse Ecke Boxhagenerstrasse - Frankfurter Tor - Bersarinplatz - Leninallee Ecke Dimitroffstrasse - Kniprodestrasse Ecke Dimitroffstrasse - Greifswalder Strasse Ecke Dimitroffstrasse - Prenzlauer Allee Ecke Dimitroffstrasse - U-Bhf. Dimitroffstrasse - Oderberger Strasse Ecke Eberswalderstrasse,14,38,10.3,,
22,strassenbahn,"Rosenthal, Hauptstrasse - Nordendstrasse - Kurt-Fischer-Platz - Pankow, Rathaus - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Pankow - S-Bhf. schönhauser Allee - U-Bhf. Dimitroffstrasse - Rosenthaler Platz - Alexanderplatz, Memhardstrasse - S-Bhf. Jannowitzbrücke",12,46,11.5,,
46,strassenbahn,"Nordend - Ossietzkyplatz - Kurt-Fischer-Platz - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Pankow - S.Bhg. schönhauser Allee - U-Bhf. Dimitroffstrasse - Brunnenstrasse Ecke Invalidenstrasse - Oranienburger Tor - Bhf. Friedrichstrasse - Am Kupfergraben",5,47,11.8,,
46P,strassenbahn,"Niederschönhausen, Idastrasse - Ossietzkyplatz",12,4,0.7,,
49,strassenbahn,"Buchholz, Hauptstrasse - Industriebahn - Galenusstrasse - S-Bhf. Pankow-Heinersdorf - Klaustalerstrasse Ecke Damerowstrasse - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Pankow - S-Bhf. schönhauser Allee - U-Bhf. Dimitroffstrasse - Rosenthaler Platz - Hackescher Markt",11,39,10.5,,
63,strassenbahn,"Hohenschönhausen, Gartenstadt - Falkenbergerstrasse Ecke Wartenberger Strasse - Berlinerstrasse Ecke Falkenbergerstrasse - Degnerstrasse - Weißenseer Weg - Steuerhaus - Dimitroffstrasse Ecke Landsberger Allee - Leninplatz - Alexanderplatz, Memhardstrasse - Hackescher Markt",20,38,10.1,,
64,strassenbahn,"Hohenschönhausen, Falkenberger Strasse - Berlinerstrasse Ecke Falkenbergerstrasse -Degnerstrasse - Weißenseer Weg - Steuerhaus - Dimitroffstrasse Ecke Landsberger Allee - Leninplatz - Alexanderplatz, Leninallee - S-Bhf. Jannowitzbrücke - Spittelmarkt - Dönhoffplatz",20,40,10.7,,
69,strassenbahn,"Johannisthal, Haeckelstrasse - Bhf. Schöneweide - Wilhelminenhofstrasse - S-Bhf. Karlshorst - Hochschule für Ökonomie - Tierpark Berlin - Alt-Friedrichsfelde Ecke Am Tierpark - Bhf. Lichtenberg - Strab. Bhf. Siegfriedstrasse - Herzbergstrasse - Roederplatz - Steuerhaus - Dimitroffstrasse Ecke Landsberger Allee - Leninplatz - Alexanderplatz, Memhardstrasse - Hackescher Markt - Oranienburger Tor - Walter-Ulbricht-Stadion",20,81,21.2,Zwischen Johannisthal und Dimitroffstrasse halbiert sich außerhalb des Berufsverkehrs die angegebene Zugfolge durch die Linie 69 E. Im Berufsverkehr zwischen Wilhelminenhofstrasse und Dimitroffstrasse beträgt die Zugfolge durchsnittlich 7 Minuten; die Linie 69 führt in dieser Zeit ab Haeckelstrasse 3 Minuten später ab.,
69 E,strassenbahn,"Johannisthal, Haeckelstrasse - Bhf. Schöneweide - Wilhelminenhofstrasse - S-Bhf. Karlshorst - Hochschule für Ökonomie - Tierpark Berlin - Alt-Friedrichsfelde Ecke Am Tierpark - Bhf. Lichtenberg - Strab. Bhf. Siegfriedstrasse - Herzbergstrasse - Roederplatz - Steuerhaus - Dimitroffstrasse Ecke Landsberger Allee - Kniprodestrasse Ecke Dimitroffstrasse",20,59,15.9,,
70,strassenbahn,"Hohenschönhausen, Falkenberger Strasse - Berliner Strasse Ecke Suermondtstrasse - Stadion Buschallee - Buschallee Ecke Klement-Gottwald-Allee - Lichtenberger Strasse Ecke Klement-Gottwald-Allee - Antonplatz - Prenzlauer Promenade Ecke Ostseestrasse - Humannplatz - U-Bhf. Dimitroffstrasse - Brunnenstrasse Ecke Beteranenstrasse - Chausseestrasse Ecke Invalidenstrasse - Oranienburger Tor - Bhf. Friedrichstrasse - Am Kupfergraben",10,49,11.9,,
71,strassenbahn,"Heinersdorf, Romain-Rolland-Strasse - Heinersdorf, Kirche - Am Steinberg - Prenzlauer Promenade Ecke Ostseestrasse - S-Bhf. Prenzlauer Allee - Dimitroffstrasse Ecke Prenzlauer Allee - Saarbrückerstrasse Ecke Prenzlauer Allee - Alexanderplatz, Memhardstrasse - S-Bhf. Jannowitzbrücke - Molkenmarkt",10,30,7.5,,
72,strassenbahn,"Weißensee, Pasedagplatz - Buschallee Ecke Klement-Gottwald-Allee - Lichtenberger Strasse - Antonplatz - Prenzlauer Promenade - S-Bhf. Prenzlauer Allee - Prenzlauer Allee Ecke Dimitroffstrasse - Saarbrücker Strasse Ecke Prenzlauer Allee - Alexanderplatz, Memhardstrasse - Spittelmarkt - Charlottenstrasse - Taubenstrasse Eccke Glinkastrasse",12,44,8.3,,
74 E,strassenbahn,"Bernkasteler Strasse Ecke Klement-Gottwald-Allee - Klement-Gottwald-Allee Ecke Buschallee - Lichtenberger Strasse Ecke Klement-Gottwald-Allee - Antonplatz - S-Bhf. Greifswalder Strasse - Dimitroffstrasse Ecke Greifswalderstrasse - Königstor - Alexanderplatz, Memhardstrasse - S-Bhf. Jannowitzbrücke - Spittelmarkt",6,37,"8,3",Zwischen Klement-Gottwald-Allee uns S-Bhf. Jannowitzbrücke bzw. Spittelmarkt (nur im Berufsverkehr) halbiert sich die angegeben Zugfolge durch die Linie 74. Sonntags verkehrt die Linie 74E nicht.,
74,strassenbahn,"Weißensee, Pasedagplatz - Buschallee Ecke Klement-Gottwald-Strasse - Lichtenberger-Strasse Ecke Klement-Gottwald-Strasse - Antonplatz - S-Bhf. Greifswalder Strasse - Greifswalderstrasse Ecke Dimitroffstrasse - Königstor - Alexanderplatz, Memhardstrasse - Molkenmarkt - Spittelmarkt - Leipziger Strasse Ecke Otto-Grotewohl-Strasse",6,40,9.7,Zwischen Klement-Gottwald-Allee uns S-Bhf. Jannowitzbrücke bzw. Spittelmarkt (nur im Berufsverkehr) halbiert sich die angegeben Zugfolge durch die Linie 74 E. ,
82,strassenbahn,"Mahlsdorf-Süd, Hubertus - S-Bhf. Köpenick - Lindenstrasse/Hegelschule - Pionierpark - Wilhelminenhofstrasse Ecke Edisonstrasse - Heinrich-Duncker-Strasse Ecke Ehrlichstrasse - Kraftwerk Klingenberg - S-Bhf. Ostkreuz - Stralauer Allee Ecke Markgrafendamm - Warschauer Strasse - Ostbahnhof -S-Bhf. Jannowitzbrücke - Alexanderplatz, Memhardstrasse - Brunnenstrasse Ecke Invalidenstrasse - Chausseestrasse Ecke Brunnenstrasse - Walter-Ulbricht-Stadion",20,88,24,Werktags nach 19:00 und sonntags ganztägig nur bis S-Bhf. Jannowitzbrücke,
83,strassenbahn,Wendenschloß - VEB Schiffswerft - RFT-Werk - Betriebsstelle Köpenick - Lindenstrasse Ecke Bahnhofstrasse - S-Bhf. Köpenick - Mahlsdorf-Süd - Bürgerwäldchen - Rahnsdorfer Strasse - S-Bhf. Mahlsdorf,20,45,12,Zwischen Wendelschloß und S-Bhf. Köpenick Verstärkung durch Einsetzwagen,
84,strassenbahn,"Am Falkenberg - Altglienicke, Kirche - S-Bhf. Adlershof - S-Bhf. Spindlersfeld - Luisenhain - Bahnhofstrasse Ecke Lindenstrasse - Seelenbinderstrasse Ecke Bahnhofstrasse - Hirschgarten - S-Bhf. Friedrichshagen - Bölschestrasse, Brauerei - Friedrichshagen, Wasserwerk",20,56,13.4,,
85,strassenbahn,"Wendenschloß - VEB Schiffswerft - RFT-Werk - Betribsstelle Köpenick - Lindenstrasse/Hegelschule - Parkstrasse - Edisonstrasse - Bhf. Schöneweide - Johannisthal, Haeckelstrasse",20,42,11.7,,
86,strassenbahn,"Alt-Schmöckwitz - Karolinenhof Mitte - Richtershorn - Freibad Grünau - S-Bhf. Grünau - Chemische Fabrik - Grünstrasse - Bahnhofstrasse - S-Bhf. Köpenick - Hirtestrasse - Mahlsdorf-Süd, Hubertus",20,51,16.2,,
87,strassenbahn,"Rahnsdorf - Wasserwerk - S-Bhf. Friedrichshagen - Bölschestrasse, Brauerei -  Hirschgarten - Seelenbinderstrasse Ecke Bahnhofstrasse - Bahnhofstrasse Ecke Lindenstrasse - Parkstrasse - Wilhelminenhofstrasse Ecke Edisonstrasse - Bhf. Schöneweide - Kali-Chemie - Köpenicker Landstrasse Ecke Baumschulenstrasse - S-Bhf. Plänterwald - Am Treptower Park Ecke Elsenstrasse - Wiener brücke",20,68,21.5,,
92,strassenbahn,"Oberspree, Bruno-Bürgel-Weg - Bhf. Schöneweide - Kali-Chemie - Baumschulenstrasse Ecke Köpenicker Landstrasse - S-Bhf. Baumschulenweg - Sonnenallee Ecke Baumschulenstrasse",15,18,5.3,,
95,strassenbahn,Krankenhaus Köpenick - Lindenstrasse Ecke Hegelschule - Parkstrasse - Edisonstrasse - Bhf. Schöneweide - Kali-Chemie - Baumschulenstrasse Ecke Köpenicker Landstrasse - S-Bhf. Plänterwald - Elsenstrasse Ecke Am Treptower Park - Wiener brücke,20,47,14.1,,
"S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB schöneiche-Rüdersdorf)",strassenbahn,"S-Bhf. Friedrichshagen (Grenze) - schöneiche, Waldstrasse - schöneiche, Goethepark - schöneiche, Dorfstrasse - schöneiche, Dorfaue - schöneiche, Schillerstrasse - schöneiche, Grützwalde - schöneiche, Jägerstrasse - Rüdersdorf, Berghof - Rüdersdorf, Thälmannstrasse - Rüdersdorf, Heinitzstrasse - Rüdersdorf, Post - Rüdersdorf, Schulstrasse - Rüdersdorf, Karl-Marx-Platz",20,35,,,
S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),strassenbahn,"S-Bhf. Rahnsdorf - Goethestrasse - Eichendamm - Lerchenstrasse - Fasanenstrasse - Thälmannplatz - Blumenstrasse - Woltersdorf, Krankenhaus - Woltersdorfer Schleuse",20,20,,,
O30,Omnibus,"Kosterstrasse - Andreasstrasse - Küstriner Platz - Warschauer Strasse - Boxhagenerstrasse Ecke Holteistrasse - S-Bhf. Rummelsburg - Weitlingstrasse - Bhf. Lichtenberg - Obus-Bf. Siegfriedstrasse - Roederplatz - Proskauer Ecke Dolziger Strasse - Ebertystrasse Ecke Leninallee - Greifswalderstrasse Ecke Dimitroffstrasse - Königstor - Alexanderplatz, Neue Königstrasse - Klosterstrasse",15,67,18.8,Wegen bauarbeiten Pendelomnibus zwischen Klosterstrasse und Küstriner Platz in beiden Richtungen,
O37,bus,"Dimitroffstrasse vor Cotheniusstrasse - S-Bhf. Leninallee - Weißenseer Weg - Genslerstrasse Ecke Landsberger Chaussee - Dingelstädterstrasse Ecke Landsberger Chaussee - Bürknersfelde - Marzahner Chaussee Ecke Berliner Chaussee - Alt-Marzahn, Kirche - Elisabethstrasse - Boschpolerstrasse - S-Bhf. Biesdorf - Alt-Biesdorf, Oberfeldstrasse -  Alt-Friedrichsfelde, Am Tierpark - Bhf. Lichtenberg",15,46,16.2,Im Berufsverkehr halbiert sich die Zugfolge zwischen Bürknersfelde und Dimitroffstrasse,
O40,bus,Ostbahnhof - Küstriner Platz -Karl-Marx-Allee - Leninplatz - Königstor - Prenzlauer Tor - Rosenthaler Platz - Oranienburger Tor - Robert-Koch-Platz,6,23,6.3,,
A22,bus,"Lutherstrasse Ecke Lindenstrasse - Fahlenbergstrasse Ecke Fürstenwalder Allee - S-Bhf. Wilhelmshagen - Zentralschule - Waldschänke - S-Bhf. Rahnsdorf - Fichtenau, Stadtgrenze",20,37,8,,
A23,bus,"Falkenhöhe - S-Bhf. Grünbergallee - S-Bhf. Altglienicke - Normannenstrasse - Wolfmarsteig - Altglienicke, Schönefelder Chaussee - Altglienicke, Kirche ",20,20,7.2,,
A26,bus,VEB Bautransporte - Bhf. Schöneweide,15,5,2,,
A27,bus,"S-Bhf. Kaulsdorf, Planitzstrasse - Chemnitzer Strasse Ecke Alt-Kaulsdorf - Ulmenstrasse - Wongrowitzer Steig - S-Bhf. Köpenick - Bahnhofstrasse Ecke Lindenstrasse - Schloßplatz - Wendenschloßstrasse Ecke Müggelheimerstrasse - Köpenick, Krankenhaus - Chausseehaus - Müggelseeperle - Müggelheim",7,43,16,,
A36,bus,"Zentralflughafen - Schönefeld, Kirche - Bhf. Schönefeld - Gartenstrasse - S-Bhf. Grünbergallee - Bohnsdorf, Kirche - Gartenstadtweg - S-Bhf. Grünau",20,21,7.3,,
AD/38,bus,"Diepensee - Kienberg - Waltersdorf - Bohnsdorf, Waldstrasse - Eichbuschplatz - Joachimstrasse - S-Bhf. Grünau",10,26,12,Zwischen Diepensee und Waltersdorf Sondertarif,
A39,bus,"Wartenberg, Siedlung - Wartenberg, Dorfstrasse - Falkenberger Chaussee Ecke Wartenbergerstrasse - Arnimstrasse Ecke Wartenbergerstrasse - Kolonie ""Land in Sonne"" - Hohenschönhausen, Falkenberger Strasse",15,13,4.4,,
A42,bus,"Buch, Kiesgruben - Ludwig-Hoffmann-Krankenhaus - Karower Strasse, Alt-Buch - Strasse 78 - Alt-Karow - Güteraußenring - Georgenstrasse - Blankenburg, Bahnhofstrasse - Heinersdorf, Kirche - Am Steinberg - Prenzlauer Promenade Ecke Ostseestrasse",10,31,12.2,,
A43,bus,"Marzahn, Berliner Chaussee - Güterbahnhof Springpfuhl - S-Bhf. Friedrichsfelde-Ost - Alt-Friedrichsfelde, Am Tierpark - U-Bhf. Friedrichsfelde - Hans-Loch-Strasse, Schule - S-Bhf. Nöldnerplatz",10,25,9,,
A44,bus,"Hönow, Dorfstrasse - Greifswalder Strasse - Am Rosenhag - S-Bhf. Mahlsdorf",13,13,4.3,,
A44E,bus,Hönowerstrasse Ecke Greifswalderstrasse - Am Rosenhag - S-Bhf. Mahlsdorf,10,7,2.8,,
