stop_order,stop_id,line_id
0,19650,19651_west
1,19651,19651_west
2,19652,19651_west
3,19653,19651_west
4,19654,19651_west
5,19655,19651_west
6,19656,19651_west
7,19657,19651_west
8,19658,19651_west
9,19659,19651_west
10,196510,19651_west
11,196511,19651_west
12,196512,19651_west
13,196513,19651_west
14,196514,19651_west
0,196515,19652_west
1,196516,19652_west
2,196517,19652_west
3,196518,19652_west
4,196519,19652_west
5,196520,19652_west
6,196521,19652_west
7,196522,19652_west
8,196523,19652_west
9,196524,19652_west
10,196525,19652_west
11,196526,19652_west
0,,19653_west
1,196527,19653_west
0,196528,19654_west
1,196529,19654_west
2,196530,19654_west
3,196531,19654_west
4,196532,19654_west
5,196533,19654_west
6,196534,19654_west
7,196535,19654_west
8,196536,19654_west
9,196537,19654_west
10,196538,19654_west
11,196539,19654_west
12,196540,19654_west
0,,19655_west
1,,19655_west
2,,19655_west
3,,19655_west
4,,19655_west
5,,19655_west
6,,19655_west
7,,19655_west
8,,19655_west
9,,19655_west
10,196541,19655_west
11,,19655_west
12,196541,19655_west
13,196542,19655_west
0,196543,19656_west
1,196544,19656_west
2,196545,19656_west
3,,19656_west
4,,19656_west
5,196546,19656_west
6,196547,19656_west
7,196548,19656_west
8,196549,19656_west
9,196550,19656_west
10,196551,19656_west
11,,19656_west
12,196552,19656_west
13,196553,19656_west
0,196554,19657_west
1,196555,19657_west
2,196556,19657_west
3,196557,19657_west
4,196558,19657_west
5,196559,19657_west
6,196560,19657_west
7,196561,19657_west
8,196562,19657_west
9,196563,19657_west
10,196564,19657_west
11,196565,19657_west
12,196566,19657_west
13,,19657_west
14,,19657_west
15,,19657_west
0,,19658_west
1,,19658_west
2,,19658_west
3,,19658_west
4,,19658_west
5,,19658_west
6,,19658_west
7,,19658_west
8,,19658_west
9,,19658_west
10,,19658_west
11,,19658_west
12,,19658_west
13,,19658_west
14,196567,19658_west
15,196568,19658_west
0,196569,19659_west
1,196570,19659_west
2,196571,19659_west
3,196572,19659_west
4,196573,19659_west
5,196574,19659_west
6,196575,19659_west
7,196576,19659_west
8,196577,19659_west
9,196578,19659_west
10,196579,19659_west
11,196580,19659_west
12,196581,19659_west
13,196582,19659_west
0,196583,196510_west
1,196584,196510_west
2,196585,196510_west
3,196586,196510_west
4,196587,196510_west
5,196588,196510_west
6,196589,196510_west
7,196590,196510_west
8,196591,196510_west
9,196592,196510_west
10,196593,196510_west
11,196594,196510_west
12,196595,196510_west
13,196596,196510_west
14,196597,196510_west
15,196598,196510_west
16,196599,196510_west
17,1965100,196510_west
18,1965101,196510_west
19,1965102,196510_west
0,1965103,196511_west
1,1965104,196511_west
2,1965105,196511_west
3,1965106,196511_west
4,1965107,196511_west
5,1965108,196511_west
6,1965109,196511_west
7,1965110,196511_west
8,1965111,196511_west
9,1965112,196511_west
10,1965113,196511_west
11,1965114,196511_west
12,1965115,196511_west
13,1965116,196511_west
0,,196512_west
1,1965117,196512_west
2,1965118,196512_west
3,,196512_west
4,1965119,196512_west
5,1965120,196512_west
6,1965121,196512_west
7,1965122,196512_west
8,1965123,196512_west
9,1965124,196512_west
10,1965125,196512_west
11,1965126,196512_west
12,1965127,196512_west
13,1965128,196512_west
14,1965129,196512_west
15,1965130,196512_west
0,1965131,196513_west
1,1965132,196513_west
2,1965133,196513_west
3,1965134,196513_west
4,1965135,196513_west
5,,196513_west
6,1965136,196513_west
7,1965137,196513_west
8,1965138,196513_west
9,1965139,196513_west
10,1965140,196513_west
11,1965141,196513_west
12,1965142,196513_west
13,1965143,196513_west
14,1965144,196513_west
15,1965145,196513_west
16,1965146,196513_west
17,1965147,196513_west
18,1965148,196513_west
0,1965149,196514_west
1,1965150,196514_west
2,1965151,196514_west
3,1965152,196514_west
4,1965153,196514_west
5,1965154,196514_west
6,1965155,196514_west
7,1965156,196514_west
8,1965157,196514_west
9,1965158,196514_west
0,1965159,196515_west
1,1965160,196515_west
2,1965161,196515_west
3,,196515_west
4,1965162,196515_west
5,1965163,196515_west
6,1965164,196515_west
7,1965165,196515_west
0,1965166,196516_west
1,1965167,196516_west
2,1965168,196516_west
3,1965169,196516_west
4,1965170,196516_west
5,1965171,196516_west
6,1965172,196516_west
7,1965173,196516_west
8,,196516_west
9,1965174,196516_west
10,1965175,196516_west
11,1965176,196516_west
12,1965177,196516_west
13,1965178,196516_west
14,1965179,196516_west
15,1965180,196516_west
