stop_name,type,line_name,stop_id,location,identifier,neighbourhood,district,east_west,postal_code
"Marienfelde, Daimlerstrasse",tram,15,19650,"52.42393712,13.38022295",,Marienfelde,Tempelhof-Schöneberg,west,12277
Großbeerenstrasse Ecke Daimlerstrasse,tram,15,19651,"52.42636276,13.37438168",,Marienfelde,Tempelhof-Schöneberg,west,12277
Körtingstrasse Ecke Großbeerenstrasse,tram,15,19652,"52.43481353,13.37831564",,Mariendorf,Tempelhof-Schöneberg,west,12107
Mariendorferdamm Ecke Alt-Mariendorf,tram,15,19653,"52.44016815,13.38730997",,Mariendorf,Tempelhof-Schöneberg,west,12107
Imbrosweg Ecke Rixdorferstrasse,tram,15,19654,"52.44352627,13.39862544",,Mariendorf,Tempelhof-Schöneberg,west,12109
Mariendamm Friedhof,tram,15,19655,"52.44953069,13.40475593",,Mariendorf,Tempelhof-Schöneberg,west,12109
Industriestrasse Ecke Gottlieb-Dunkel-Strasse,tram,15,19656,"52.45533607,13.40989571",,Tempelhof,Tempelhof-Schöneberg,west,12099
Germaniastrasse Ecke Gottlieb-Dunkel-Strasse,tram,15,19657,"52.46053987,13.41805889",,Tempelhof,Tempelhof-Schöneberg,west,12099
"Frauenklinik, Mariendorferweg",tram,15,19658,"52.46394991,13.42750955",,Neukölln,Neukölln,west,12051
Hermannstrasse/Britzer Damm,tram,15,19659,"52.46276073,13.43439092",,Britz,Neukölln,west,12347
U-Bhf. Neukölln,tram,15,196510,"52.46965568,13.44161494",,Neukölln,Neukölln,west,12055
Richardstrasse Ecke Braunschweigerstrasse,tram,15,196511,"52.47098038,13.44634551",,Neukölln,Neukölln,west,12055
Saalestrasse Ecke Sonnenallee,tram,15,196512,"52.47384843,13.45589857",,Neukölln,Neukölln,west,12059
Dammweg Ecke Sonnenallee,tram,15,196513,"52.47028918,13.46461967",,Neukölln,Neukölln,west,12057
Schulenburgpark,tram,15,196514,"52.46666061,13.47029259",,Neukölln,Neukölln,west,12057
Gradestrasse Ecke Tempelhofer Weg,tram,47,196515,"52.45253932,13.43305683",,Britz,Neukölln,west,12347
U-Bhf. Blaschkoallee,tram,47,196516,"52.45247429,13.44902591",,Britz,Neukölln,west,12359
Buschkrugallee Ecke Blaschkoallee,tram,47,196517,"52.45253092,13.45217109",,Britz,Neukölln,west,12359
Onkel-Herse-Strasse Ecke Buschkrugallee,tram,47,196518,"52.44824572,13.45392578",,Britz,Neukölln,west,12359
Parchimerallee Ecke Buschkrugallee,tram,47,196519,"52.44543069,13.45497615",,Britz,Neukölln,west,12359
Grünerweg Ecke Buschkrugallee,tram,47,196520,"52.44256249,13.45634565",,Britz,Neukölln,west,12359
Krankenhaus Neukölln,tram,47,196521,"52.43977054,13.45935906",,Buckow,Neukölln,west,12351
Johannisthaler Chaussee Ecke Rudowerstrasse,tram,47,196522,"52.43431775,13.46904333",,Buckow,Neukölln,west,12351
Wildmeisterdamm Ecke Neuköllnerstrasse,tram,47,196523,"52.42577675,13.48323925",,Rudow,Neukölln,west,12357
Stubenrauchstrasse Ecke Neuköllnerstrasse,tram,47,196524,"52.42416862,13.48544348",,Rudow,Neukölln,west,12357
Köpenickerstrasse Ecke Neuköllnerstrasse,tram,47,196525,"52.41693184,13.49408867",,Rudow,Neukölln,west,12355
Groß-Ziethener-Chaussee Ecke Waltersdorferchaussee,tram,47,196526,"52.41611361,13.49741897",,Rudow,Neukölln,west,12355
"Rudow, Stadtgrenze",tram,47P,196527,"52.40149832,13.51359770",,Rudow,Neukölln,west,12355
Richard-Wagner-Platz,tram,53,196528,"52.51757062,13.30624812",,Charlottenburg,Charlottenburg-Wilmersdorf,west,10585
Luisenplatz,tram,53,196529,"52.52039497,13.29942701",,Charlottenburg,Charlottenburg-Wilmersdorf,west,14059
Klausenerplatz,tram,53,196530,"52.51920201,13.29186737",,Charlottenburg,Charlottenburg-Wilmersdorf,west,14059
Kirschenallee Ecke Spandauerdamm,tram,53,196531,"52.52038534,13.26714901",,Westend,Charlottenburg-Wilmersdorf,west,14050
Schloß Ruhwald,tram,53,196532,"52.52160458,13.26039687",,Westend,Charlottenburg-Wilmersdorf,west,14050
U-Bhf. Ruhleben,tram,53,196533,"52.52595777,13.24137187",,Spandau,Spandau,west,13597
Teltowerstrasse Ecke Ruhlebenerstrasse,tram,53,196534,"52.52649488,13.21644671",,Wilhelmstadt,Spandau,west,13597
Freiheit,tram,53,196535,"52.53269779,13.20751844",,Spandau,Spandau,west,13597
Spandauer Markt,tram,53,196536,"52.53687071,13.20531554",,Spandau,Spandau,west,13597
Hafenplatz,tram,53,196537,"52.54229255,13.20620113",,Spandau,Spandau,west,13585
Lynarstrasse Ecke Neuendorferstrasse,tram,53,196538,"52.54898037,13.21025253",,Hakenfelde,Spandau,west,13585
Hohenzollernring Ecke Streitstrasse,tram,53,196539,"52.55572554,13.20753076",,Hakenfelde,Spandau,west,13587
"Hakenfelde, Niederneuendorferallee",tram,53,196540,"52.57049943,13.21252012",,Hakenfelde,Spandau,west,13587
Lynarstrasse Ecke Schönwalderstrasse,tram,54,196541,"52.54844825,13.20081057",,Spandau,Spandau,west,13585
"Spandau, Johannesstift",tram,54,196542,"52.56762417,13.19178261",,Hakenfelde,Spandau,west,13587
Bhf. Zoo,tram,55,196543,"52.50719346,13.33262988",,Charlottenburg,Charlottenburg-Wilmersdorf,west,10623
Ernst-Reuter-Platz,tram,55,196544,"52.51159182,13.32257153",,Charlottenburg,Charlottenburg-Wilmersdorf,west,10587
Otto-Suhr-Allee Ecke Leibnizstrasse,tram,55,196545,"52.51465062,13.31519191",,Charlottenburg,Charlottenburg-Wilmersdorf,west,10585
Osnabrückerstrasse Ecke Tegelerweg,tram,55,196546,"52.52651985,13.29732033",,Charlottenburg,Charlottenburg-Wilmersdorf,west,10589
Jakob-Kaiser-Platz,tram,55,196547,"52.53674528,13.29357089",,Charlottenburg-Nord,Charlottenburg-Wilmersdorf,west,13627
Quellweg Ecke Nonnendammallee,tram,55,196548,"52.53662795,13.26837045",,Siemensstadt,Spandau,west,13629
Paulsternstrasse Ecke Gartenfelderstrasse,tram,55,196549,"52.54412196,13.24701046",,Haselhorst,Spandau,west,13599
Zitadellenweg Ecke Am Juliusturm,tram,55,196550,"52.53777974,13.21728515",,Haselhorst,Spandau,west,13599
Carl-Schurz-Strasse Ecke Am Juliusturm,tram,55,196551,"52.53954502,13.20555083",,Spandau,Spandau,west,13597
Hohenzollernring Ecke Neuendorferstrasse,tram,55,196552,"52.55571250,13.20754149",,Hakenfelde,Spandau,west,13587
Hakenfelde,tram,55,196553,"52.57886010,13.21005780",,Hakenfelde,Spandau,west,13587
"Zoo, Kantstrasse",tram,75,196554,"52.50528855,13.33160349",,Charlottenburg,Charlottenburg-Wilmersdorf,west,10623
Leibnizstrasse Ecke Kantstrasse,tram,75,196555,"52.50628812,13.31395372",,Charlottenburg,Charlottenburg-Wilmersdorf,west,10625
Wilmersdorferstrasse Ecke Kantstrasse,tram,75,196556,"52.50669450,13.30667544",,Charlottenburg,Charlottenburg-Wilmersdorf,west,10627
Amtsgericht,tram,75,196557,"52.50682618,13.29739145",,Charlottenburg,Charlottenburg-Wilmersdorf,west,10627
Messedamm,tram,75,196558,"52.50641939,13.28039244",,Westend,Charlottenburg-Wilmersdorf,west,14055
